Begrotingsjaar,VUO,HoofdstukRomeins,Hoofdstuknaam,Artikelnummer,Artikelnaam,StandOWB,StandO1,StandSBS,StandO2,Realisatie
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,6,Kabinet van de Gouverneur van Aruba,1865,1941,0,1941,1985
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,7,Kabinet van de Gouverneur van Curaçao,200,200,0,200,148
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,7,Kabinet van de Gouverneur van Curaçao,2786,2786,0,2785,2550
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,7,Kabinet van de Gouverneur van Curaçao,2786,2786,0,2785,2491
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,8,Kabinet van de Gouverneur van Sint Maarten,50,50,0,50,289
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,8,Kabinet van de Gouverneur van Sint Maarten,2119,2370,0,2373,2273
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,8,Kabinet van de Gouverneur van Sint Maarten,2119,2370,0,2373,2262
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,10,Nominaal en onvoorzien,191,1177,0,0,0
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,10,Nominaal en onvoorzien,191,1177,0,0,0
2013,O,III,Algemene Zaken,1,Bevorderen eenheid regeringsbeleid,4197,6341,0,6341,6605
2013,U,III,Algemene Zaken,1,Bevorderen eenheid regeringsbeleid,58687,60224,0,56503,55780
2013,V,III,Algemene Zaken,1,Bevorderen eenheid regeringsbeleid,58687,60224,0,56503,55117
2013,O,III,Algemene Zaken,4,Kabinet der Koningin,2402,2410,0,2631,2572
2013,U,III,Algemene Zaken,4,Kabinet der Koningin,2402,2410,0,2631,2615
2013,V,III,Algemene Zaken,4,Kabinet der Koningin,2402,2410,0,2631,2615
2013,O,III,Algemene Zaken,5,Cie v. Toez. I&V,0,0,0,0,39
2013,U,III,Algemene Zaken,5,Cie v. Toez. I&V,1075,1076,0,1076,885
2013,V,III,Algemene Zaken,5,Cie v. Toez. I&V,1075,1076,0,1076,885
2013,O,IV,Koninkrijksrelaties,1,Waarborgfunctie,4857,4857,0,4857,5295
2013,U,IV,Koninkrijksrelaties,1,Waarborgfunctie,63607,63607,0,63607,63859
2013,V,IV,Koninkrijksrelaties,1,Waarborgfunctie,63607,63607,0,63607,75317
2013,O,IV,Koninkrijksrelaties,2,Bevord.autonomie Koninkrijkspartners,28013,28013,0,33169,34705
2013,U,IV,Koninkrijksrelaties,2,Bevord.autonomie Koninkrijkspartners,213131,220887,0,227492,247217
2013,V,IV,Koninkrijksrelaties,2,Bevord.autonomie Koninkrijkspartners,20149,27905,0,34510,39846
2013,U,IV,Koninkrijksrelaties,3,Nominaal en onvoorzien,805,7105,0,0,0
2013,V,IV,Koninkrijksrelaties,3,Nominaal en onvoorzien,805,7105,0,0,0
2013,O,IXA,Nationale Schuld (Transactiebasis),1,Financiering staatsschuld,47126831,50109831,0,53388505,51869439
2013,U,IXA,Nationale Schuld (Transactiebasis),1,Financiering staatsschuld,42055423,40738571,0,38348275,46229838
2013,V,IXA,Nationale Schuld (Transactiebasis),1,Financiering staatsschuld,42055423,40738571,0,38348275,46229838
2013,O,IXA,Nationale Schuld (Transactiebasis),2,Kasbeheer,1929063,2172574,0,2196540,3205155
2013,U,IXA,Nationale Schuld (Transactiebasis),2,Kasbeheer,8867626,9866395,0,8165673,2733419
2013,V,IXA,Nationale Schuld (Transactiebasis),2,Kasbeheer,8867626,9866395,0,8165673,2733419
2013,O,IXB,Financien,1,Belastingen,852125,812125,0,645125,648199
2013,U,IXB,Financien,1,Belastingen,3244427,3404813,0,3212514,3187000
2013,V,IXB,Financien,1,Belastingen,3244427,3404813,0,3212514,3273683
2013,O,IXB,Financien,2,Financiele Markten,176748,169525,0,292403,362270
2013,U,IXB,Financien,2,Financiele Markten,59938,60881,0,62866,60866
2013,V,IXB,Financien,2,Financiele Markten,59938,60881,0,-6084316,-7291534
2013,O,IXB,Financien,3,Financ. act. Publiek-Private sector,5201977,6197126,0,7121120,9603301
2013,U,IXB,Financien,3,Financ. act. Publiek-Private sector,1994237,5715624,0,6187622,8674220
2013,V,IXB,Financien,3,Financ. act. Publiek-Private sector,336637,14835024,0,14756035,13595835
2013,O,IXB,Financien,4,Internationale Fin. Betrekkingen,64091,32394,0,34186,34336
2013,U,IXB,Financien,4,Internationale Fin. Betrekkingen,2323757,2599757,0,2599757,2599623
2013,V,IXB,Financien,4,Internationale Fin. Betrekkingen,308005,434005,0,-47707765,-49193450
2013,O,IXB,Financien,5,Exportkrediet- en investeringsverzekering,128550,142550,0,216250,202684
2013,U,IXB,Financien,5,Exportkrediet- en investeringsverzekering,113106,113106,0,113106,103647
2013,V,IXB,Financien,5,Exportkrediet- en investeringsverzekering,10616386,10616386,0,10616386,3590788
2013,U,IXB,Financien,6,BTW-Compensatiefonds,2895357,2894127,0,2660000,2715812
2013,V,IXB,Financien,6,BTW-Compensatiefonds,2895357,2894127,0,2660000,2715812
2013,O,IXB,Financien,7,Beheer materiele activa,176986,1800,0,2100,2278
2013,U,IXB,Financien,7,Beheer materiele activa,84580,306,0,606,334
2013,V,IXB,Financien,7,Beheer materiele activa,84580,306,0,606,-1550
